idea_id,tag,summary,draft_id,final_section,status,notes
D1-PROB-001,PROB,"Disasters need rapid damage+land-use mapping",D1,"2. Problem & Gap",placed,""
D1-PROB-002,PROB,"DL pipelines compute-heavy in constrained settings",D1,"2. Problem & Gap",placed,""
D1-OBJ-001,OBJ,"Efficient hybrid (subspace+DL) for rapid, actionable insights",D1,"3. Objectives & Hypotheses",placed,""
D1-OBJ-002,OBJ,"Joint damage + land-use for integrated view",D1,"3. Objectives & Hypotheses",placed,"master-phase focus: ordinal damage-level segmentation with land-use as context; joint mapping remains a long-term goal"
D1-DATA-001,DATA,"Use Sentinel-2 for land-use/land-cover",D1,"4. Data & Preprocessing",placed,""
D1-DATA-002,DATA,"Use xBD for building-damage labels",D1,"4. Data & Preprocessing",placed,""
D1-DATA-003,DATA,"Use xView2 for finer damage classes",D1,"4. Data & Preprocessing",placed,"approx. 22,068 images; 11,034 pre/post pairs; ~850,736 building polygons over ~45k km2 (to-verify); supports finer damage classes"
D1-DATA-004,DATA,"Use UAV imagery for local high-res detail",D1,"4. Data & Preprocessing",placed,""
D1-DATA-005,DATA,"Optional real-time UAV/IoT feeds",D1,"4. Data & Preprocessing",placed,"updated per D3; UAV+IoT fusion mentioned in proposal; IoT modalities: structural integrity, environmental conditions; sources D1,D2,D3"
D1-PRE-001,PRE,"Noise removal, resolution alignment, band merge",D1,"4. Data & Preprocessing",placed,""
D1-METH-SSC-001,METH-SSC,"SSC for compact, structure-aware features",D1,"5.1 Subspace Family (Representation)",placed,""
D2-METH-SSC-002,METH-SSC,"On-device SSC preprocessing (UAV/edge) to reduce bandwidth/compute",D2,"5.1 Subspace Family (Representation)",placed,"from D2"
D1-METH-SUB-001,METH-SUB,"First-difference subspace for abrupt change",D1,"5.2 Temporal Change - Theory",placed,""
D1-METH-SUB-002,METH-SUB,"Second-difference subspace for progression/recovery",D1,"5.2 Temporal Change - Theory",placed,""
D1-METH-UNET-001,METH-UNET,"U-Net consumes subspace features for segmentation",D1,"5.4 Segmentation (U-Net)",placed,"Optional DS prior channel; Siamese/change-aware variant (D11)"
D1-DEC-001,DEC,"Geospatial heatmaps (damage, land-use, temporal)",D1,"5.5 Decision Layer (MCDA) & Products",placed,""
D1-DEC-002,DEC,"MCDA ranking for reconstruction/resource allocation",D1,"5.5 Decision Layer (MCDA) & Products",placed,"criteria include land-use (D2); exposure/access/temporal trend; export priority GeoTIFF + PNG (D11)"
D1-EXP-001,EXP,"Evaluate in Japan and conflict-affected areas",D1,"6. Experiments",placed,""
D11-EXP-002,EXP,"SegNet baseline segmentation vs U-Net (compute/accuracy comparison)",D11,"6. Experiments",planned,"memory-efficient alternative; compare mIoU, latency, VRAM; source: web chat (SegNet mention)"
D1-METRIC-001,METRIC,"Precision/Recall/F1/IoU",D1,"7. Metrics & Analysis",placed,""
D1-RESULT-001,RESULT,"Scalable, deployable framework for agencies/NGOs",D1,"8. Expected Contributions",placed,""
D1-RESULT-002,RESULT,"Applicable to disaster preparedness, smart cities, climate",D1,"8. Expected Contributions",placed,"examples include deforestation and reforestation analysis (from web chat); scope to be decided"
D1-OPEN-001,OPEN,"Compute budget (latency/VRAM/GPU-hours)",D1,"7. Metrics & Analysis",planned,"add latency metric"
D1-OPEN-002,OPEN,"AOI + temporal window specifics",D1,"4. Data & Preprocessing",planned,""
D1-OPEN-003,OPEN,"MCDA criteria/weights choice",D1,"5.5 Decision Layer (MCDA) & Products",planned,""
D1-OPEN-004,OPEN,"Damage ontology mapping (xBD/xView2 -> final)",D1,"4. Data & Preprocessing",planned,""
D1-OPEN-005,OPEN,"Baselines & ablations list",D1,"6. Experiments",planned,"DS-only vs deep-only; 1st vs 2nd-order DS; DS prior on/off; geodesic vs projection"
D1-PHRASE-001,PHRASE,"rapid, actionable insights",D1,"[PHRASE VAULT]",placed,""
D1-PHRASE-002,PHRASE,"computationally efficient hybrid framework",D1,"[PHRASE VAULT]",placed,""
D2-PLAN-001,PLAN,"Edge/server split: SSC on UAV/edge; U-Net on server",D2,"5.3 Temporal Change - Integration in Pipeline",placed,"from D2"
D4-PRE-001,PRE,"Data augmentation to improve generalization (xBD/xView2 training)",D4,"4. Data & Preprocessing",placed,"geom: rot90/flip/scale/translate; radiometric: brightness/contrast/gamma; temporal pairs synchronized; light noise/blur (low magnitude); ranges ~+/- 10-15%; sources D1-D4"
D7-DATA-006,DATA,"EuroSAT for labeled LULC pretraining/evaluation",D7,"4. Data & Preprocessing",planned,"auxiliary dataset"
D7-DATA-007,DATA,"MiniFrance for high-res LULC training/eval",D7,"4. Data & Preprocessing",planned,"auxiliary dataset"
D7-DATA-008,DATA,"Urban Atlas (Copernicus) for standardized urban LULC",D7,"4. Data & Preprocessing",planned,"auxiliary dataset"
D7-DATA-009,DATA,"Planet Labs daily imagery for cadence-sensitive updates (if available)",D7,"4. Data & Preprocessing",planned,"licensing dependent"
D11-DATA-001,DATA,"MultiSenGE dataset for disaster mapping (details TBD)",D11,"4. Data & Preprocessing",planned,"auxiliary dataset; provenance: repo edit (MultiSenGE); to-verify"
D11-DATA-002,DATA,"SpaceNet for urban building/road segmentation (optional auxiliary dataset)",D11,"4. Data & Preprocessing",planned,"future extension; licensing/AOI overlap to-verify"
D11-DATA-003,DATA,"OpenStreetMap roads/buildings as vector overlays",D11,"4. Data & Preprocessing",planned,"evaluation overlays and potential routing; alignment procedure TBD"
D11-DATA-004,DATA,"Landsat as additional multi-temporal optical context (optional)",D11,"4. Data & Preprocessing",planned,"future extension; sensor harmonization and AOI overlap to-verify"
D11-DATA-005,DATA,"OSCD dataset (13-band Sentinel-2 bi-temporal pairs) as primary DS change-detection benchmark",D11,"4. Data & Preprocessing",planned,"labeled change-detection dataset for DS evaluation; metrics: F1/IoU/Precision/Recall + runtime; baselines: pixel differencing, CVA, PCA-diff, IR-MAD; provenance: THISCHAT-DS-006"
D7-OPEN-006,OPEN,"Define SSC-based interpretability and evaluation plan",D7,"7. Metrics & Analysis",planned,"coefficients/clusters vs saliency; specify analysis"
D11-METH-SUB-003,METH-SUB,"DS projection-energy change map (PCA/difference subspace)",D11,"5.2 Temporal Change - Theory",planned,"principal-angle interpretability"
D11-METH-SUB-004,METH-SUB,"DS cross-residual (illumination-robust) change map",D11,"5.2 Temporal Change - Theory",planned,"complements projection-energy"
D11-METH-SUB-005,METH-SUB,"Multi-date DS acceleration (second-order) for surge/recovery",D11,"5.2 Temporal Change - Theory",planned,"sliding window over T1..Tn"
D11-METH-SUB-006,METH-SUB,"Sliding-window DS and period-subspace DS variants for local/multi-date change",D11,"5.2 Temporal Change - Theory",planned,"local subspaces S1(w), S2(w), DS D(w) with aggregated DS maps; period-subspace DS for multi-image before/after; provenance: THISCHAT-DS-003/005/011"
